customer_state,freight_value
AC,40.07336956521739
AL,35.843671171171174
AM,33.20539393939394
AP,34.00609756097561
BA,26.363958936562252
CE,32.71420162381597
DF,21.04135494596841
ES,22.058776595744682
GO,22.76681525932276
MA,38.25700242718447
MG,20.63016680630665
MS,23.374884004884002
MT,28.166284360189575
PA,35.83268518518519
PB,42.72380398671096
PE,32.917862679955704
PI,39.147970479704796
PR,20.531651567944248
RJ,20.960923931682558
RN,35.6523629489603
RO,41.06971223021583
RR,42.98442307692308
RS,21.73580433039294
SC,21.47036877394636
SE,36.65316883116883
SP,15.147275390419185
TO,37.24660317460317
