regiao,product_category_name,total_pedidos_regiao
Nordeste,agro_industria_e_comercio,21
Nordeste,alimentos,41
Nordeste,alimentos_bebidas,28
Nordeste,artes,15
Nordeste,artigos_de_festas,1
Nordeste,artigos_de_natal,18
Nordeste,audio,38
Nordeste,automotivo,460
Nordeste,bebes,263
Nordeste,bebidas,11
Nordeste,beleza_saude,1180
Nordeste,brinquedos,375
Nordeste,cama_mesa_banho,614
Nordeste,casa_conforto,33
Nordeste,casa_conforto_2,1
Nordeste,casa_construcao,52
Nordeste,cds_dvds_musicais,1
Nordeste,cine_foto,5
Nordeste,climatizacao,15
Nordeste,consoles_games,112
Nordeste,construcao_ferramentas_construcao,71
Nordeste,construcao_ferramentas_ferramentas,8
Nordeste,construcao_ferramentas_iluminacao,12
Nordeste,construcao_ferramentas_jardim,31
Nordeste,construcao_ferramentas_seguranca,24
Nordeste,cool_stuff,418
Nordeste,dvds_blu_ray,5
Nordeste,eletrodomesticos,64
Nordeste,eletrodomesticos_2,16
Nordeste,eletronicos,282
Nordeste,eletroportateis,44
Nordeste,esporte_lazer,753
Nordeste,fashion_bolsas_e_acessorios,232
Nordeste,fashion_calcados,29
Nordeste,fashion_esporte,3
Nordeste,fashion_roupa_feminina,3
Nordeste,fashion_roupa_infanto_juvenil,1
Nordeste,fashion_roupa_masculina,14
Nordeste,fashion_underwear_e_moda_praia,9
Nordeste,ferramentas_jardim,436
Nordeste,fraldas_higiene,2
Nordeste,industria_comercio_e_negocios,21
Nordeste,informatica_acessorios,735
Nordeste,instrumentos_musicais,82
Nordeste,livros_importados,3
Nordeste,livros_interesse_geral,67
Nordeste,livros_tecnicos,24
Nordeste,malas_acessorios,109
Nordeste,market_place,36
Nordeste,moveis_colchao_e_estofado,1
Nordeste,moveis_cozinha_area_de_servico_jantar_e_jardim,14
Nordeste,moveis_decoracao,638
Nordeste,moveis_escritorio,198
Nordeste,moveis_quarto,9
Nordeste,moveis_sala,40
Nordeste,musica,1
Nordeste,papelaria,239
Nordeste,pc_gamer,1
Nordeste,pcs,58
Nordeste,perfumaria,299
Nordeste,pet_shop,144
Nordeste,portateis_casa_forno_e_cafe,4
Nordeste,portateis_cozinha_e_preparadores_de_alimentos,1
Nordeste,relogios_presentes,812
Nordeste,sinalizacao_e_seguranca,17
Nordeste,tablets_impressao_imagem,14
Nordeste,telefonia,707
Nordeste,telefonia_fixa,34
Nordeste,utilidades_domesticas,398
