regiao,product_category_name,total_pedidos_regiao
Norte,agro_industria_e_comercio,7
Norte,alimentos,2
Norte,alimentos_bebidas,1
Norte,artes,6
Norte,artigos_de_natal,3
Norte,audio,3
Norte,automotivo,92
Norte,bebes,71
Norte,bebidas,2
Norte,beleza_saude,214
Norte,brinquedos,69
Norte,cama_mesa_banho,89
Norte,casa_conforto,2
Norte,casa_construcao,7
Norte,cine_foto,3
Norte,climatizacao,1
Norte,consoles_games,25
Norte,construcao_ferramentas_construcao,6
Norte,construcao_ferramentas_iluminacao,3
Norte,construcao_ferramentas_jardim,5
Norte,construcao_ferramentas_seguranca,1
Norte,cool_stuff,83
Norte,dvds_blu_ray,1
Norte,eletrodomesticos,17
Norte,eletrodomesticos_2,17
Norte,eletronicos,55
Norte,eletroportateis,11
Norte,esporte_lazer,165
Norte,fashion_bolsas_e_acessorios,56
Norte,fashion_calcados,8
Norte,fashion_esporte,4
Norte,fashion_roupa_masculina,2
Norte,fashion_underwear_e_moda_praia,3
Norte,ferramentas_jardim,65
Norte,industria_comercio_e_negocios,2
Norte,informatica_acessorios,176
Norte,instrumentos_musicais,16
Norte,livros_importados,2
Norte,livros_interesse_geral,11
Norte,livros_tecnicos,4
Norte,malas_acessorios,22
Norte,market_place,10
Norte,moveis_cozinha_area_de_servico_jantar_e_jardim,2
Norte,moveis_decoracao,125
Norte,moveis_escritorio,41
Norte,moveis_sala,5
Norte,musica,1
Norte,papelaria,47
Norte,pcs,10
Norte,perfumaria,65
Norte,pet_shop,30
Norte,portateis_casa_forno_e_cafe,2
Norte,portateis_cozinha_e_preparadores_de_alimentos,1
Norte,relogios_presentes,141
Norte,seguros_e_servicos,1
Norte,sinalizacao_e_seguranca,3
Norte,tablets_impressao_imagem,5
Norte,telefonia,143
Norte,telefonia_fixa,9
Norte,utilidades_domesticas,72
