regiao,product_category_name,total_pedidos_regiao
Sudeste,agro_industria_e_comercio,184
Sudeste,alimentos,378
Sudeste,alimentos_bebidas,220
Sudeste,artes,151
Sudeste,artes_e_artesanato,22
Sudeste,artigos_de_festas,33
Sudeste,artigos_de_natal,85
Sudeste,audio,258
Sudeste,automotivo,2829
Sudeste,bebes,2075
Sudeste,bebidas,295
Sudeste,beleza_saude,6544
Sudeste,brinquedos,2900
Sudeste,cama_mesa_banho,8882
Sudeste,casa_conforto,370
Sudeste,casa_conforto_2,20
Sudeste,casa_construcao,436
Sudeste,cds_dvds_musicais,8
Sudeste,cine_foto,43
Sudeste,climatizacao,227
Sudeste,consoles_games,786
Sudeste,construcao_ferramentas_construcao,687
Sudeste,construcao_ferramentas_ferramentas,64
Sudeste,construcao_ferramentas_iluminacao,215
Sudeste,construcao_ferramentas_jardim,174
Sudeste,construcao_ferramentas_seguranca,107
Sudeste,cool_stuff,2466
Sudeste,dvds_blu_ray,38
Sudeste,eletrodomesticos,560
Sudeste,eletrodomesticos_2,172
Sudeste,eletronicos,1846
Sudeste,eletroportateis,459
Sudeste,esporte_lazer,5936
Sudeste,fashion_bolsas_e_acessorios,1416
Sudeste,fashion_calcados,172
Sudeste,fashion_esporte,16
Sudeste,fashion_roupa_feminina,36
Sudeste,fashion_roupa_infanto_juvenil,5
Sudeste,fashion_roupa_masculina,94
Sudeste,fashion_underwear_e_moda_praia,99
Sudeste,ferramentas_jardim,2996
Sudeste,flores,26
Sudeste,fraldas_higiene,33
Sudeste,industria_comercio_e_negocios,176
Sudeste,informatica_acessorios,5363
Sudeste,instrumentos_musicais,459
Sudeste,la_cuisine,9
Sudeste,livros_importados,49
Sudeste,livros_interesse_geral,339
Sudeste,livros_tecnicos,185
Sudeste,malas_acessorios,808
Sudeste,market_place,203
Sudeste,moveis_colchao_e_estofado,34
Sudeste,moveis_cozinha_area_de_servico_jantar_e_jardim,225
Sudeste,moveis_decoracao,5920
Sudeste,moveis_escritorio,1227
Sudeste,moveis_quarto,94
Sudeste,moveis_sala,393
Sudeste,musica,28
Sudeste,papelaria,1738
Sudeste,pc_gamer,7
Sudeste,pcs,111
Sudeste,perfumaria,2441
Sudeste,pet_shop,1439
Sudeste,portateis_casa_forno_e_cafe,49
Sudeste,portateis_cozinha_e_preparadores_de_alimentos,11
Sudeste,relogios_presentes,3926
Sudeste,sinalizacao_e_seguranca,129
Sudeste,tablets_impressao_imagem,56
Sudeste,telefonia,2693
Sudeste,telefonia_fixa,174
Sudeste,utilidades_domesticas,5231
