regiao,product_category_name,total_pedidos_regiao
Sul,agro_industria_e_comercio,24
Sul,alimentos,58
Sul,alimentos_bebidas,27
Sul,artes,22
Sul,artes_e_artesanato,1
Sul,artigos_de_festas,8
Sul,artigos_de_natal,25
Sul,audio,48
Sul,automotivo,606
Sul,bebes,493
Sul,bebidas,46
Sul,beleza_saude,1175
Sul,brinquedos,548
Sul,cama_mesa_banho,1490
Sul,casa_conforto,45
Sul,casa_conforto_2,2
Sul,casa_construcao,92
Sul,cds_dvds_musicais,5
Sul,cine_foto,18
Sul,climatizacao,31
Sul,consoles_games,143
Sul,construcao_ferramentas_construcao,128
Sul,construcao_ferramentas_ferramentas,20
Sul,construcao_ferramentas_iluminacao,51
Sul,construcao_ferramentas_jardim,17
Sul,construcao_ferramentas_seguranca,37
Sul,cool_stuff,669
Sul,dvds_blu_ray,11
Sul,eletrodomesticos,119
Sul,eletrodomesticos_2,43
Sul,eletronicos,472
Sul,eletroportateis,115
Sul,esporte_lazer,1336
Sul,fashion_bolsas_e_acessorios,289
Sul,fashion_calcados,37
Sul,fashion_esporte,5
Sul,fashion_roupa_feminina,3
Sul,fashion_roupa_infanto_juvenil,1
Sul,fashion_roupa_masculina,23
Sul,fashion_underwear_e_moda_praia,17
Sul,ferramentas_jardim,704
Sul,flores,3
Sul,fraldas_higiene,2
Sul,industria_comercio_e_negocios,51
Sul,informatica_acessorios,1229
Sul,instrumentos_musicais,93
Sul,la_cuisine,6
Sul,livros_importados,5
Sul,livros_interesse_geral,92
Sul,livros_tecnicos,36
Sul,malas_acessorios,152
Sul,market_place,52
Sul,moveis_colchao_e_estofado,2
Sul,moveis_cozinha_area_de_servico_jantar_e_jardim,36
Sul,moveis_decoracao,1459
Sul,moveis_escritorio,218
Sul,moveis_quarto,11
Sul,moveis_sala,52
Sul,musica,8
Sul,papelaria,385
Sul,pc_gamer,1
Sul,pcs,17
Sul,perfumaria,438
Sul,pet_shop,277
Sul,portateis_casa_forno_e_cafe,17
Sul,portateis_cozinha_e_preparadores_de_alimentos,1
Sul,relogios_presentes,745
Sul,sinalizacao_e_seguranca,32
Sul,tablets_impressao_imagem,4
Sul,telefonia,717
Sul,telefonia_fixa,32
Sul,utilidades_domesticas,1069
